Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
Précis de droit des poursuites /,Sylvain juriste.... Marchand,9783725587247; 3725587248,Schulthess Editions romandes,grundlagenwerk; schuldbetreibungs und konkursrecht; schweiz,9194,grundlagenwerk; schuldbetreibungs und konkursrecht; schweiz
Droit du travail /,,9783719047610; 371904761X,Helbing Lichtenhahn,arbeitsrecht; gesetzessammlung; schweiz; textreproduktion,9195,arbeitsrecht; gesetzessammlung; schweiz; textreproduktion
Femmes des années folles /,Norman Barreau-Gély,9782376713319; 2376713315,E/P/A,annees; femmes dans la litterature,9196,annees; femmes livres illustres
Capitale du Nord /,Claire Duvivier,9782373051018; 237305101X; 9782253106869; 2253106860; 9782253106876; 2253106879; 9782373056594; 2373056593; 9782373057072; 2373057077,Aux forges de Vulcain,,9197,
Maladies mentales et sociétés : XIXe-XXIe siècle /,Nicolas Henckes,9782348045028; 2348045028,La Découverte,ergotherapie aspect social; maladies mentales; medecine histoire; psychologie histoire; sante mentale; sociologie des sciences,9198,maladies mentales aspect social; maladies mentales histoire; medecine histoire; psychiatrie aspect social; psychologie histoire; sante mentale aspect social; sociologie des sciences
La construction sociale du corps /,Christine Détrez,9782020542388; 2020542382,Editions du Seuil,corps; corps humain,9199,corps aspect social; corps humain sociologie
Anatomy : love story /,Dana 19..-.... Schwartz,9782226472984; 2226472983,Albin Michel,,9200,
Les addictions /,Didier Acier,9782807306295; 2807306292,De Boeck supérieur,dependance psychologie,9201,dependance psychologie
"""Tiens-toi droit !"" : l'enfant à l'école au 19e siècle : espace, morale et santé : l'exemple vaudois /",Geneviève Heller,2829000935; 9782829000935,Ed d'en bas,education physique et sportive; education vaud suisse; health education; hygiene; schools; switzerland; vaud suisse,9202,ecole socialisation vaud suisse; education vaud suisse; health education; hygiene; physical education and training; physical education and training history; schools; switzerland; vaud
Yellowface : a novel /,Rebecca F..... Kuang,0063250837; 9780063250833; 0063323176; 9780063323179,William Morrow,authorship; fiction; models psychological,9203,asian americans; asian americans fiction; authors; authors fiction; authorship; authorship fiction; chinese american authors; chinese american authors fiction; fiction; impostors and imposture; impostors and imposture fiction; psychological fiction
Gilded /,Marissa Meyer,9782378762704; 2378762704; 9782378763497; 2378763492,De Saxus,,9204,
"Les origines de l'Art nouveau : la maison Bing: [exposition ""L'art nouveau, la maison Bing"", Van Gogh Museum Amsterdam, 26 nov. 2004-27 février 2005, Museum Villa Stuck Munich, 17 mars-31 juillet 2005, CaixaForum Barcelone, sept.2005-janvier 2006, Musée des arts décoratifs Paris, mars-juillet 2006] : [catalogue] /",,9061535611; 9789061535614,Fonds Mercator; Musée des arts décoratifs; Van Gogh Museum,architecture art nouveau,9205,art decoratif art nouveau catalogue dexposition; bing siegfried
À coups de cases et de bulles : les violences faites aux femmes dans la bande dessinée /,,9782753586239; 2753586233,Presses universitaires de Rennes,bandes dessinees; violence; violence envers les femmes,9206,bandes dessinees themes motifs; violence envers les femmes dans les bandes dessinees; violence in comics; women in comics
Tarot /,K.D. Edwards,9791028112431; 9791028116330; 9791028117276,Editions Bragelonne,,9207,
Le pont des tempêtes /,Danielle L. Jensen,9791028117405; 9791028112592; 9791028114992,Bragelonne,,9208,
Mo Dao Zu Shi /,Mo Xiang Tong Xiu,9791038169944; 9791038137486,MXM Bookmark,,9209,
Parées : enquête sur l'émancipation vestimentaire des femmes /,Yvane 19..-.... Jacob,9782755665765; 2755665769,Hugo doc,vetements,9210,vetements de femme
The beauty myth : how images of beauty are used against women /,Naomi Wolf,9780060512187; 0060512180,Harper Perennial,beaute antiquite 20e s; beaute feminine esthetique,9211,beaute femme mythe occident societe milieu humain 20e s fin; beaute femme norme sociale
"Corps noirs et médecins blancs : la fabrique du préjugé racial, XIXe-XXe siècles /",Delphine.... Peiretti,9782348045011; 234804501X,La Découverte,corps humain; medecine histoire; noirs americains segregation,9212,corps humain; medecine afrique histoire; medecins doutremer afrique occidentale francaise; noirs segregation; sciences de la sante documentation afrique
La franc-maçonnerie : de l'ombre à la lumière /,,9782889012268; 2889012263,Société vaudoise d'histoire et d'archéologie; Editions Antipodes,berne suisse canton vaud suisse; fonds en desherence restitution nationalsocialisme suisse guerre mondiale 2; suisse histoire,9213,francmaconnerie suisse fonds darchives; francmaconnerie vaud suisse histoire; francmaconnes vaud suisse
Histoire des épices au Moyen Age /,Michel Balard,9782262101176; 2262101175,Perrin,epices,9214,epices histoire; epices moyen age
Fantasy & féminismes : aux intersections du/des genre(s) /,,9782376866091; 237686609X,ActuSF,actes de congres; feminisme et litterature,9215,actes de congres; fantasy dans les medias; feminisme et litterature
La folle histoire du rouge à lèvres /,Rachel Kahn,9782733504611; 2733504614,Herscher,apparence individuelle; beaute feminine esthetique; produits cosmetiques; rouge dans lart,9216,apparence individuelle; beaute feminine esthetique; produits cosmetiques industrie et commerce; rouges a levres histoire
Vienne fin de siècle : politique et culture /,Carl E Schorske,2020066254; 9782020066259,Seuil,architecture art nouveau; autriche; kokoschka oskar,9217,art autrichien art nouveau; culture vienne autriche; kokoschka oskar; schonberg arnold
Le syndrome de Vichy : de 1944 à nos jours /,Henry Rousso,2757862960; 9782757862964,Points,,9218,
"Corps noirs : réflexions sur le mannequinat, la mode et les femmes noires /",Christelle Bakima Poundza,9782019466640; 2019466643,Les Insolentes,femmes; noires americaines,9219,femmes de couleur; mannequins personnes; noires
Psychologie sociale /,Vincent.... Yzerbyt,9782807345249; 2807345247,De Boeck Supérieur,manuels denseignement superieur; psychologie sociale,9220,manuels denseignement superieur; psychologie sociale
Invisible women : exposing data bias in a world designed for men /,Caroline Criado-Perez,1784741728; 9781784741723; 1784742929; 9781784742928,Chatto & Windus,discrimination sexuelle; domination; domination femme homme masculin sociologie; role selon le sexe; sciences sociales recherche; sex discrimination against women; sex role; social sciences research,9221,discrimination sexuelle; domination aspect social; male domination social structure; role selon le sexe recherche methodologie; sciences sociales recherche; sex discrimination against women; sex role research methodology; social sciences research
Les monstres de papier /,Ann Sei Lin,9782371024038; 2371024031; 9782371024335; 2371024333,Lumen,roman fantastique; roman pour la jeunesse,9222,roman fantastique; roman pour la jeunesse
Plein-Ciel /,Siècle Vaëlban,9782362316302; 2362316300; 9782362315060; 2362315061,Castelmore,roman fantastique,9223,roman fantastique
La main cachée : une autre histoire de la Révolution française /,Edmond Dziembowski,9782262095932; 2262095930,Perrin,conspirationnisme; france revolution,9224,conspirationnisme; france revolution
Travail féminin : retour à l'ordre ! : l'offensive contre le travail des femmes durant la crise économique des années 1930 /,Céline Schoeni,9782889010554; 2889010554,Antipodes,annees; crise economique; division sexuelle du travail; droit du travail; feminisme; femmes; fonction publique; france; segregation etatsunis; suisse; travail,9225,annees; bureau international du travail; crise economique; crise economique discrimination femme fonction publique travail france suisse; division sexuelle du travail; droit au travail; feminisme; femmes; fonction publique; france; segregation; suisse; travail
Au foyer de l'inégalité : la division sexuelle du travail en Suisse pendant la crise des années 30 et la Deuxième Guerre mondiale /,,294014656X; 9782940146567,Ed Antipodes,egalite des sexes; mouvement social suisse 20e s fin; suisse loi federale sur legalite entre femmes et hommes; travail des femmes,9226,egalite des sexes suisse 20e siecle; egalite des sexes travail suisse; emploi femme homme masculin inegalite suisse; travail des femmes suisse 20e siecle; travail des hommes suisse 20e siecle
De lune et de sang /,Erin Beaty,9782371023864; 2371023868; 9782371024069; 2371024066,Lumen,fantasy,9227,fantasy
MLF - psychanalyse et politique : 1968-2018 : 50 ans de libération des femmes /,,2721006851; 9782721006851; 2721006894; 9782721006899; 2721006908; 9782721006905,Ed des femmes Antoinette Fouque,archetype femme psychologie analytique; crimes contre les femmes; feminism; feminisme et litterature; feminisme france; femmes; fouque antoinette; france; history; mouvement de liberation des femmes france; rape; sex role; womens rights,9228,des femmes firm; feminism; feminism france history; feminist literature publishing; feminist literature publishing france; fouque antoinette; france; history; mouvement de liberation des femmes france; mouvement de liberation des femmes france history; rape; rape france; sex role; sex role france; women and psychoanalysis; women crimes against; women crimes against france; women political activists; women political activists france; womens rights; womens rights france
Rituels dynastiques et mises en scène du pouvoir : le cérémonial princier à la cour de Savoie (1450-1550) /,Thalia Brero,9788884508065; 8884508061,SISMEL - Ed del Galluzzo,savoie; theses et ecrits academiques,9229,cour et courtisans france savoie 15e siecle; cour et courtisans france savoie 16e siecle; rites et ceremonies aspect politique france savoie 15e siecle; rites et ceremonies aspect politique france savoie 16e siecle; savoie duche de savoie; theses et ecrits academiques
Conseils pour l'édition des textes médiévaux /,,2735504506; 9782735504503; 2900791375; 9782900791370; 2735504557; 9782735504558; 2900791405; 9782900791400; 2735505316; 9782735505319; 2900791561; 9782900791561,Ecole nationale des chartes; Comité des travaux historiques et scientifiques,histoire manuel; manuscrits medievaux,9230,archives edition moyenage manuel; edition histoire discipline sources moyenage manuel; edition litterature texte moyenage manuel; edition manuscrit moyenage manuel; edition texte moyenage manuel
Le cheval dans la culture médiévale /,,9788884506559; 8884506557,SISMEL - Ed del Galluzzo,chevalerie; civilisation medievale; etudes diverses; moyen age,9231,cheval; civilisation medievale; etudes diverses; moyen age
"La naissance du duché de Savoie (1416) : actes du colloque international de Chambéry (18, 19 et 20 février 2016) /",,9782377410521; 2377410529,Université de Savoie Laboratoire LLSETI,actes de congres; savoie; savoie duche armee,9232,actes de congres; savoie 15e siecle; savoie duche
"""J'ay grand envie de veoir assaillir"" : guerre, guerriers et finances dans les Etats de Savoie à la fin du Moyen Age (XIVe-XVe s.) /",Roberto Biolzi,,éditeur non identifié,14e siecle; finances; guerres; histoire medievale; moyen age; savoie; savoie duche armee; theses et ecrits academiques,9233,14e siecle15e siecle; finances de guerre; guerres; guerriers; histoire medievale; moyen age; savoie comte; savoie duche armee; theses et ecrits academiques
Histoire du monde au XVe siècle /,,9782213635491; 2213635498,Fayard,etudes diverses; tradition europe 19e s etudes diverses,9234,histoire 15e s etudes diverses; monde 15e s etudes diverses
Commentaire du Code pénal suisse / (Art. 1-110),Paul Logoz,2603000578; 9782603000571,Delachaux et Niestlé,droit penal,9235,droit penal suisse manuel
Allgemeiner Teil /,Günter Stratenwerth,9783727286674; 3727286679,Stämpfli,allgemeines strafrecht; droit penal; grundlagenwerk; infractions; manuels denseignement superieur; poursuite pour dettes suisse manuel; schweiz; strafrecht; suisse,9236,allgemeines strafrecht; droit penal; grundlagenwerk; infraction suisse manuel; infractions; manuels denseignement superieur; schweiz; strafrecht; suisse
Les dispositions pénales de la Loi sur la circulation routière (LCR) : du 19 décembre 1958 /,Yvan Jeanneret,9783727224645; 3727224649,Stämpfli,droit suisse; kommentarwerk; schweiz; strafbestimmungen des betmg; strassenverkehrswesen; textreproduktion,9237,circulation routiere infraction peine droit droit penal suisse manuel; kommentarwerk; schweiz; strafbestimmungen des svg; strassenverkehrswesen; textreproduktion
La modélisation de la recherche qualitative : une approche interactive /,Joseph A Maxwell,2827108321; 9782827108329,Impr Saint-Paul; Ed Universitaires,recherche qualitative,9238,modelisation recherche qualitative; recherche qualitative
Le sabbat des sorcières /,Carlo Ginzburg,9782072971419; 2072971411,Gallimard,sorcieres europe histoire,9239,sorcieres europe histoire
Jean-Michel Basquiat et l'art du storytelling /,,9783836580915; 3836580918,Taschen,basquiat jeanmichel; ouvrages illustres,9240,basquiat jeanmichel; ouvrages illustres
L'art du storytelling : manuel de communication /,Guillaume Lamarre,9782350174266; 2350174263,Pyramyd,communication en marketing; guides pratiques; narration,9241,communication en marketing; guides pratiques; storytelling
Survivre au péril plastique : des solutions à tous les niveaux /,Matthieu Combe,9782374251349; 2374251349,Rue de l'échiquier,ecologie; environnement protection; matieres plastiques; pollution,9242,ecologie; environnement protection; matieres plastiques aspect environnemental; matieres plastiques dechets recyclage; matieres plastiques recyclage; mer pollution; pollution lutte contre
Femmes qui courent avec les loups : histoires et mythes de l'archétype de la femme sauvage /,Clarissa Pinkola.... Estés,2246498511; 9782246498513,Bernard Grasset,archetype femme psychologie analytique; conte de fees femme anthologie; femme sauvage psychologie analytique,9243,archetype femme psychologie analytique; conte de fees femme anthologie; femme sauvage psychologie analytique
Quand l'alimentation pose problème... : ni anorexie ni boulimie : les troubles alimentaires atypiques /,Sophie Vust,9782880493011; 2880493013,Médecine et hygiène,alimentation sociologie; body image psychology; bulimia nervosa; diet therapy; nutrition comportements alimentaires,9244,alimentation troubles exces alimentaire etudes diverses; body image; bulimia nervosa; feeding and eating disorders diagnosis; feeding and eating disorders epidemiology; feeding and eating disorders therapy; nutrition comportements alimentaires
"Faire face aux troubles alimentaires : anorexie, boulimie, compulsion /",Daniel Rigaud,9782725635125; 2725635128,Retz,anorexie mentale; boulimie; troubles du comportement,9245,acces hyperphagiques; anorexie mentale; boulimie; troubles du comportement alimentaire
Cerveau et nature /,Michel Le Van Quyen,9782080250490; 2080250493,Flammarion,bienetre; nature effets de lhomme; neuropsychologie,9246,bienetre; homme effets de lenvironnement; neuropsychologie
La colère et l'oubli : les démocraties face au jihadisme européen /,Hugo Micheron,9782072980725; 2072980720,Gallimard,djihad,9247,djihad europe; djihadistes europe
Partout les autres /,"David, romancier Thomas",9782823620139; 2823620133,Editions de l'Olivier,,9248,
L'affaire Alaska Sanders : roman /,Joël Dicker,9782889730001; 288973000X,Rosie & Wolfe,litterature; roman policier; roman suisse de langue francaise,9249,litterature suisse; roman policier; roman policier suisse; roman policier suisse de langue francaise
Ton absence n'est que ténèbres : roman /,Jón Kalman Stefánsson,9782246827993; 224682799X,Bernard Grasset,,9250,
L'art de faire les choses jusqu'au bout /,Kevin.... Tran,9782749949796; 2749949793,Michel Lafon,guides pratiques; ouvrages pour la jeunesse; realisation de soi,9251,guides pratiques; ouvrages pour la jeunesse; realisation de soi
Le charme discret de l'intestin : tout sur un organe mal aimé /,Giulia Enders,,Actes Sud,digestion; feeding behavior; gastroenterology; intestins,9252,digestion; feeding behavior; gastroenterologie; gastroenterology; intestines; intestins
Réparer les blessures relationnelles : comment bien vivre nos relations aux autres et à soi lorsque l'enjeu est aussi grand ? /,Isabelle.... Leboeuf L’Anthoën,9782100852628; 2100852620,Dunod,emotions; realisation de soi; relations humaines; souffrance,9253,emotions; realisation de soi; relations humaines; souffrance
"Le grand livre du trauma complexe de l'enfant à l'adulte : fondements, enjeux cliniques, psychopathologie, prise en charge /",,9782100844395; 2100844393,Dunod,etudes de cas; psychopathologie; traumatisme psychique; vulnerabilite psychologie,9254,etudes de cas; psychopathologie; traumatisme psychique; vulnerabilite psychologie
Les lapins ne mangent pas de carottes /,Hugo Clément,9782213717128; 2213717125,Librairie Artheme Fayard,animaux aspect symbolique moyen age; animaux protection; relations hommeanimal,9255,animaux dans les representations sociales; animaux protection; relations hommeanimal
"La dyslexie en 100 questions/réponses : [questions de patients, réponses de spécialistes] /",Jeanne-Marie Kochel,9782340008427; 2340008425,Ellipses,dyslexie; guides pratiques; questions et reponses,9256,dyslexie; guides pratiques; guides pratiques et mementos; questions et reponses
"Débat sur le kantisme et la philosophie : Davos, mars 1929, et autres textes de 1929-1931 /",Ernst Cassirer,,Beauchesne,actes de congres,9257,kantisme congres
Le rire urbain : quand le street art fait de l'humour /,Sophie Pujas,2072968348; 9782072968341,Alternatives,art dans la rue; femmes dans lart,9258,art dans la rue; humour dans lart
Celle qui parle aux corbeaux /,Melissa.... Lucashenko,9782021506419; 202150641X,Seuil,,9259,
Absolu /,Margot Dessenne,9782362315275; 2362315274; 9782362316418; 2362316416; 9782362316227; 236231622X,Castelmore; Bragelonne,dystopies; roman pour la jeunesse,9260,dystopies; roman pour la jeunesse
La chouette d'or : roman /,Isabelle Mayault,9782072999826; 2072999820,Gallimard,,9261,
Ne tirez pas sur l'oiseau moqueur : roman /,Harper Lee,9782246857730; 2246857732,B Grasset,enfants; litterature americaine; racisme; roman,9262,enfants; litterature americaine; racisme; roman
Le cercle littéraire des amateurs d'épluchures de patates : roman /,Mary Ann Shaffer,9782841113712; 284111371X,Nil,,9263,
Yoga /,Emmanuel Carrère,9782818051382; 281805138X,POL éditeur,depression; roman; troubles bipolaires,9264,depression; roman; troubles bipolaires
Il est grand temps de rallumer les étoiles /,Virginie Grimaldi,9782213709703; 221370970X,Fayard,meres et filles; roman francais,9265,meres et filles; roman francais
Odyssée /,Charles.... Leval,9782073016522; 2073016529,Éditions Alternatives,art dans la rue,9266,art dans la rue 20e siecle
[Atlas historique des pays romands] /,Christos Nüssli,9782882562739; 288256273X,Attinger; Passé simple,atlas; suisse histoire; suisse romande,9267,atlas; geographie historique cartes suisse romande; suisse romande histoire
Le dernier homme blanc : roman /,Mohsin Hamid,9782246832720; 2246832721,Bernard Grasset,,9268,
Hacke-moi si tu peux : mémoires d'un cyberpirate repenti /,Florent Curtet,9782749174723; 2749174724,Le Cherche midi,hacking; informatique; pirates informatiques; systemes informatiques mesures de surete,9269,hacking; informatique france; pirates informatiques; systemes informatiques mesures de securite
Mémoires de sorcières : encyclopédie des puissances magiques et savoirs oubliés /,Magali Mottet,9782382400302; 2382400307,Secret d'étoiles,encyclopedies; ouvrages illustres; sorcellerie,9270,encyclopedies; ouvrages illustres; sorcellerie
"Ottolenghi, le cookbook /",Yotam Ottolenghi,9782012388390; 2012388396,Hachette pratique,cuisine,9271,cuisine
"Si rien avait une forme, ce serait cela /",Annie Le Brun,9782070119189; 2070119181,Gallimard,personne philosophie; surrealisme,9272,forme philosophie esthetique; subversion esthetique; surrealisme philosophie
Profanation : la deuxième enquête du département V : roman /,Jussi Adler-Olsen,9782226241412; 2226241418,Albin Michel,roman danois,9273,roman policier danois
Lettres à Alice et à quelques autres /,Lewis Carroll,2743658924; 9782743658922,Rivages,,9274,carroll lewis correspondance
"Atlas des migrations dans le monde : libertés de circulation, frontières et inégalités /",,9782200632823; 2200632827,Armand Colin,emigration et immigration; libre circulation des personnes,9275,emigration et immigration; libre circulation des personnes
Bitch : le pouvoir des femelles dans le monde animal /,Lucy.... Cooke,9782226483423; 222648342X,Albin Michel,comportement animal; comportement sexuel des animaux; femmes,9276,comportement sexuel des animaux; femelles; femelles comportement animal; males reproduction biologie
Oeuvres complètes /,Colette,,Aux Ed du Club de l'honnête homme,,9277,
L'insoutenable légèreté de l'être : roman /,Milan Kundera,2070700720; 9782070700721,Gallimard,,9278,
Argile sans tour et sans four /,Charlotte Vannier,9782416004025; 2416004026,Eyrolles,ceramique,9279,ceramique technique
Défis et richesses des classes multilingues : construire des ponts entre les cultures /,Nathalie Auger,9782710142508; 2710142503,ESF Sciences Humaines,enseignement multilingue; langue maternelle et education; manuels pour allophones; multiculturalisme,9280,enseignement international; enseignement multilingue; etude et enseignement allophones; langue maternelle et education; multiculturalisme
Le genre : cet obscur objet du désordre /,Anne-Charlotte Husson,9782203215863; 2203215860,Casterman,identite sexuelle; transidentite,9281,identite sexuelle bandes dessinees; transidentite
Je n'aime pas les endives grillées ! : Roxane Damidot,Roxane Damidot,9782749953359; 2749953359,M Lafon,,9282,
Corps vivante /,Julie.... Delporte,9782925114154; 2925114156,Pow Pow,identite sexuelle; lesbiennes; romans graphiques,9283,identite sexuelle; lesbiennes; romans graphiques
J'y vais mais j'ai peur : journal d'une navigatrice /,Clarisse.... Crémer,9782413048169; 2413048162,Delcourt,bandes dessinees biographiques; femmes marins; vendee globe course de bateaux a voiles,9284,bandes dessinees autobiographiques; femmes marins; navigation a voile; navigation en solitaire; vendee globe course de bateaux a voiles
L'égalité à quelques poils près /,,9791028529444,Leduc,egalite des sexes,9285,egalite des sexes; epilation; systeme pileux
Maternités : miracles et malédictions : portraits pour questionner les injonctions à la parentalité /,Noémie autrice et illustratrice.... Fachan,9782401089969; 2401089969,Hatier,maternite; role parental,9286,maternite; maternite societe; role parental
Vocabulaire espagnol,,9782035901484; 2035901480,Larousse,vocabulaire espagnol,9287,vocabulaire espagnol
Anglais vocabulaire /,Jacqueline Fromonot,9782091844718; 2091844713,Nathan,vocabulaire anglais; vocabulaire anglais problemes et exercices,9288,anglais langue francais langue vocabulaire exercices; anglais langue langue etrangere vocabulaire exercices; anglais langue langue etrangere vocabulaire manuel
Les méthodes de recherche en didactiques : actes du premier séminaire international sur les méthodes de recherches en didactiques de juin 2005 /,,2859399496; 9782859399498,Presses univ du Septentrion,education recherche scientifique methodologie,9289,didactique recherche scientifique methodologie congres
"Magic, science and religion, and other essays /",Bronislaw Malinowski,0313246874; 9780313246876,Greenwood Press,ethnologie; etudes diverses,9290,esprits etres spirituels rite ethnologie trobriand papouasienouvelleguinee; magie religion science anthropologie etudes diverses; mythe ethnologie trobriand papouasienouvelleguinee; mythe religion primitive ethnologie
"La magie : actes du colloque international de Montpellier, 25-27 mars 1999 /",,2842693973; 9782842693978; 2842693981; 9782842693985; 284269399X; 9782842693992; 2842694007; 9782842694005; 2842694015; 9782842694012,Séminaire d'étude des mentalités antiques - Publications de la recherche - Université Paul Valéry,beaute antiquite 20e s,9291,magie antiquite 20e s congres
"L'ombre du diable : Michée Chauderon, dernière sorcière exécutée à Genève /",Michel Porret,9782825710906; 2825710903,Georg,20e siecle milieu; chauderon michee; geneve suisse ville; proces; sorcellerie; sorcieres,9292,17e siecle milieu; chauderon michee; geneve suisse ville; proces; sorcellerie; sorcieres
Reportages dans Détective /,Joseph Kessel,2081516551; 9782081516557,Arthaud,france histoire,9293,faits divers france
Les manuscrits de la mer Morte /,David Hamidović,9782715413627; 2715413629,Que sais-je ? / Humensis,manuscrits medievaux,9294,manuscrits de la mer morte
Boniments /,François..... Bégaudeau,2354802617; 9782354802615,Éditions Amsterdam,capitalisme; elite sciences sociales; liberalisme; women france social conditions,9295,bourgeoisie terminologie france; capitalism; capitalisme terminologie france; elite social sciences; french language social aspects; liberalism; middle class
Etés anglais /,Elizabeth Jane Howard,9782710388586; 2710388588,La Table ronde,,9296,
"Ayurvéda pratique : yoga, méditation, massage, alimentation, remèdes /",,9782702915097; 2702915094,Le Courrier du livre,ayurveda; guides pratiques,9297,ayurveda; guides pratiques
L'île aux 30 cercueils /,Maurice Leblanc,9782749950853; 2749950856,Michel Lafon,,9298,
Labyrinthes /,Franck Thilliez,9782265155558; 2265155551,Fleuve Éditions,roman francais; thriller roman,9299,roman francais; thriller roman
Le prince cruel /,Holly Black,9782700273885; 2700273885,Rageot,creatures fabuleuses; fantasy; fees; roman pour la jeunesse,9300,creatures fabuleuses; fantasy; fees; roman pour la jeunesse
Saison morte : mélancolie blanche : roman /,Erik Axl Sund,9782330173876; 2330173873,Actes Sud,,9301,
Juste avant le bonheur : roman /,Agnès Ledig,9782266250627; 2266250620,Pocket,deuil,9302,deuil
"Harrap's Weis Mattutat : dictionnaire allemand-français, [dictionnaire français-allemand] Pons /",,0245502866; 9780245502866; 3125172233; 9783125172234,GG Harrap,allemand langue,9303,allemand langue francais langue
Les Rougon-Macquart : histoire naturelle et sociale d'une famille sous le second empire /,Emile Zola,,Gallimard,,9304,
Le passager du Polarlys /,José-Louis Bocquet,9782505112235; 2505112231,Dargaud Benelux,bandes dessinees,9305,bandes dessinees
Et ils meurent tous les deux à la fin : roman /,Adam Silvera,9782221218235; 222121823X,Éditions Robert Laffont,dystopies; homosexualite; roman,9306,dystopies; homosexualite; roman
Macroéconomie /,Olivier Blanchard,9782326002623; 2326002628,Pearson,macroeconomie; manuels denseignement superieur,9307,macroeconomie; manuels denseignement superieur
Finance d'entreprise /,Jonathan B. Berk,9782326002425; 2326002423; 9782326002555; 2326002555,Pearson,entreprises; manuels denseignement superieur,9308,entreprises finances; manuels denseignement superieur
Les ombres de la vallée : roman /,Viveca Bergstedt Sten,9782226462121; 2226462120,Albin Michel,enquetes criminelles; roman policier; roman policier suedois,9309,enquetes criminelles; roman policier; roman policier suedois
Le mangeur d'or /,Xavier Dorison,9782505061373; 2505061378,Dargaud Benelux,bandes dessinees,9310,bandes dessinees
La danse des vautours /,Xavier Dorison,9782505063544; 2505063540,Dargaud Benelux,bandes dessinees,9311,bandes dessinees
L'ogre de Sutter Camp /,Xavier Dorison,9782505065388; 2505065381,Dargaud Benelux,bandes dessinees,9312,bandes dessinees
Heureux les fêlés car ils laissent passer la lumière : roman /,Raphaëlle.... Giordano,9782385770297; 2385770296,Récamier,feelgood book; roman francais,9313,feelgood book; roman francais
Meurtre compte triple : roman policier /,Laurent 197.-.... Eltschinger,9782940641383; 2940641382,Editions Montsalvens,roman suisse de langue francaise,9314,roman policier suisse de langue francaise
Le cri /,Nicolas Beuglet,9782491467326; 2491467321,Philéas,,9315,
Mort d'un sage /,Jean Dufaux,9782505116431; 2505116431,Dargaud Benelux,bandes dessinees,9316,bandes dessinees
Pratiquer le yoga assis c'est possible ! /,Samuel Ganes,2416012762; 9782416012761,Éditions Eyrolles,guides pratiques; hathayoga,9317,guides pratiques; hathayoga
Lucia : thriller /,Bernard Minier,9782374484068; 2374484068; 9782374485454; 2374485455,XO Editions,thriller roman,9318,thriller roman
La chronique des Bridgerton /,Julia Quinn,9782290254738; 2290254738; 9782290357583; 2290357588; 9782290357637; 2290357634; 9782290357682; 2290357685; 9782290371954; 2290371955,J'ai lu,roman historique americain; roman sentimental americain,9319,roman historique americain; roman sentimental americain
Asterios Polyp /,David Mazzucchelli,9782203029774; 2203029773,Casterman,bandes dessinees,9320,bandes dessinees
Mon ami Dahmer /,Derf,9782916207803; 2916207805,Editions çà et là,bandes dessinees,9321,bandes dessinees
"Montaillou, village occitan : de 1294 à 1324 /",Emmanuel Le Roy Ladurie,9782070362134; 2070362132,Gallimard,,9322,cathares montaillou france; paysan montaillou france
Enéide /,Publius Maro Vergilius,2251013040; 9782251013046; 2251113045; 9782251113043,Les Belles Lettres,,9323,
Enéide /,Publius Maro Vergilius,2251013040; 9782251013046; 2251113045; 9782251113043,Les Belles Lettres,,9324,
La traduction /,Michaël Oustinoff,9782715412903; 2715412908,Presses universitaires de France/Humensis,traduction,9325,traduction
Ce que j'appelle oubli /,Laurent Mauvignier,9782707321534; 2707321532,Minuit,,9326,
La cuisine romaine antique /,Nicole Blanc,2723412768; 9782723412766,Faton; Glénat,gastronomie,9327,cuisine gastronomie rome
"Au fil de l'eau, au fil des textes : littérature et pêche à la ligne /",Gilles Castagnès,9782377472543; 2377472540,UGA éditions,litterature themes motifs; voyages dans la litterature,9328,litterature themes motifs; peche sportive dans la litterature; peches dans la litterature
Underworld : romans noirs /,William Riley Burnett,9782072828256; 2072828252,Gallimard,roman policier,9329,roman policier
Ma vie à la Nouvelle-Orléans /,Louis Armstrong,284967026X; 9782849670262,CODA,,9330,armstrong louis biographie
"L'univers, les dieux, les hommes : récits grecs des origines /",Jean-Pierre Vernant,2744405159; 9782744405150,Grand caractère,livres en gros caracteres; mythologie grecque,9331,livres en gros caracteres; mythologie grecque
Saxophone Colossus : The Life and Music of Sonny Rollins /,Aidan Levy,9780306902796; 0306902796,Hachette Books,,9332,rollins sonny
Le guide /,Peter Heller,9782330177713; 2330177712,Actes Sud,,9333,
Neil Young : sept décennies au sommet du rock /,Alain Gardinier,9782377971855; 2377971857,GM Editions,,9334,young neil
Romans noirs /,Horace McCoy,9782072927126; 2072927129,Editions Gallimard,,9335,
Journal inutile /,Paul Morand,207075099X; 9782070750993; 2070759857; 9782070759859,Gallimard,,9336,morand paul document
La différence invisible /,Julie Dachez,9782756072678; 2756072672,Delcourt,autisme; bandes dessinees; syndrome dasperger,9337,autisme; bandes dessinees; syndrome dasperger
Trans* /,,9783038780427; 3038780421,Genoud Arts Graphiques; Till Schaap Edition,photographie artistique; portraits; transgenres; transidentite,9338,photographie artistique; portraits photographie suisse; transgenres; transidentite
Transidentités : les clés pour comprendre : enjeux et richesse des parcours trans* /,Aline 19..-.... Alzetta-Tatone,9782848357874; 2848357878,In Press,guides pratiques; identite sexuelle; transgenres; transidentite,9339,guides pratiques; identite sexuelle; transgenres; transidentite
